100 MILE HOUSE, BC = 51.643970 -121.295010
108 MILE RANCH, BC = 51.750319 -121.345478
150 MILE HOUSE, BC = 52.104057 -121.928257
70 MILE HOUSE, BC = 51.303136 -121.395769
ABBEY, SK = 50.734969 -108.758488
ABBOTSFORD, BC = 49.050438 -122.304470
ABEE, AB = 54.238865 -113.022086
ABERCORN, QC = 45.040781 -72.664257
ABERDEEN, SK = 52.326104 -106.291491
ABERNETHY, SK = 50.746603 -103.417945
ACADIA VALLEY, AB = 51.157764 -110.214152
ACADIE SIDING, NB = 46.682946 -65.386716
ACADIEVILLE, NB = 46.730836 -65.266629
ACHESON, AB = 53.548701 -113.762610
ACME, AB = 51.496228 -113.510024
ACTON VALE, QC = 45.647054 -72.565063
ACTON, ON = 34.469994 -118.196742
ADAMS GULCH, NB = 47.838613 -67.045851
ADAMSVILLE, NB = 46.396750 -65.184161
ADDISON, ON = 32.941577 -117.199070
ADEN, AB = 49.024567 -111.298373
ADMIRAL ROCK, NS = 45.165965 -63.398817
ADMIRAL, SK = 49.714118 -108.008218
ADSTOCK, QC = 46.046754 -71.076868
ADVOCATE HARBOUR, NS = 45.336959 -64.783120
AETNA, AB = 49.130387 -113.251910
AFTON STATION, NS = 45.607847 -61.713730
AGASSIZ, BC = 49.238941 -121.765883
AGUANISH, QC = 50.224330 -62.086335
AGUATHUNA, NL = 48.539371 -58.776848
AHMIC HARBOUR, ON = 45.661195 -79.777589
AHOUSAT, BC = 49.276166 -126.056367
AILSA CRAIG, ON = 43.147028 -81.533769
AINSWORTH HOT SPRINGS, BC = 49.733978 -116.910230
AIR RONGE, SK = 55.086192 -105.320266
AIRDRIE, AB = 51.291700 -114.014364
AIYANSH, BC = 55.261006 -129.049911
AJAX, ON = 43.850855 -79.020373
AKLAVIK, NT = 68.219916 -135.007788
AKULIVIK, QC = 60.817681 -78.144241
AKWESASNE, ON = 45.010807 -74.578123
AKWESASNE, QC = 45.001222 -74.650289
ALAMEDA, SK = 49.264616 -102.282525
ALBAN, ON = 35.173972 -120.530939
ALBANEL, QC = 48.884292 -72.440636
ALBANY, PE = 46.286052 -63.643834
ALBERT BRIDGE, NS = 46.015683 -60.060285
ALBERT MINES, NB = 45.864114 -64.662069
ALBERTA BEACH, AB = 53.675439 -114.353532
ALBERTON, ON = 48.604582 -93.542722
ALBERTON, PE = 46.813129 -64.064827
ALBERTVILLE, QC = 48.318356 -67.366068
ALBERTVILLE, SK = 53.394597 -105.543286
ALBRIGHTS CORNER, NB = 46.022695 -66.189817
ALCIDA, NB = 47.770598 -65.828996
ALCOMDALE, AB = 53.890897 -113.842501
ALCOVE, QC = 45.683068 -75.930941
ALDER FLATS, AB = 52.931262 -114.941364
ALDER POINT, NS = 46.308855 -60.280610
ALDERGROVE, BC = 49.058052 -122.470667
ALDERSYDE, AB = 50.676541 -113.879446
ALDERWOOD, NB = 47.518882 -64.994844
ALDOUANE, NB = 46.709200 -64.897320
ALERT BAY, BC = 50.584486 -126.925409
ALEXANDER, MB = 50.477742 -96.109979
ALEXANDRIA, ON = 45.311180 -74.636716
ALEXIS CREEK, BC = 52.082986 -123.277992
ALFRED, ON = 45.505907 -73.568151
ALGOMA MILLS, ON = 46.184951 -82.816947
ALHAMBRA, AB = 52.340985 -114.673429
ALIDA, SK = 49.388641 -101.872511
ALIX, AB = 52.399486 -113.186503
ALKALI LAKE, BC = 51.788563 -122.228337
ALLAINVILLE, NB = 47.297913 -65.242156
ALLAN, SK = 51.894009 -106.055485
ALLANBURG, ON = 43.076411 -79.208852
ALLARDVILLE, NB = 47.474777 -65.492461
ALLENFORD, ON = 44.536986 -81.178444
ALLIANCE, AB = 52.435934 -111.784606
ALLISON, NB = 46.064374 -64.915508
ALLISTON, ON = 44.153951 -79.869154
ALMA, NB = 45.603795 -64.941436
ALMA, ON = 34.614202 -120.199932
ALMA, QC = 48.550461 -71.652770
ALMONTE, ON = 45.225565 -76.194060
ALONSA, MB = 50.801177 -98.977607
ALOUETTE, QC = 48.342983 -70.995273
ALSASK, SK = 51.377454 -109.996892
ALSIKE, AB = 53.191187 -114.464781
ALTAMONT, MB = 49.399215 -98.495176
ALTARIO, AB = 51.918259 -110.146722
ALTICANE, SK = 52.900373 -107.479533
ALTON, NS = 45.185458 -63.294904
ALTON, ON = 40.545834 -124.140076
ALTONA, BC = 56.877725 -120.954506
ALTONA, MB = 49.103498 -97.555495
ALVENA, SK = 52.517579 -106.016978
ALVINSTON, ON = 42.819087 -81.862338
AMARANTH, MB = 50.595363 -98.739369
AMELIASBURG, ON = 44.058428 -77.437455
AMHERST, NS = 45.816667 -64.216721
AMHERST, QC = 46.008203 -74.766413
AMHERSTBURG, ON = 42.101378 -83.108698
AMHERSTVIEW, ON = 44.223329 -76.650818
AMISK, AB = 52.564520 -111.056991
AMMON, NB = 46.167891 -64.843641
AMOS, QC = 48.565020 -78.112521
AMQUI, QC = 48.464605 -67.431192
ANAGANCE, NB = 45.869881 -65.252584
ANAHIM LAKE, BC = 52.466667 -125.316667
ANCASTER, ON = 43.217779 -79.987283
ANCHOR POINT, NL = 51.237236 -56.793584
ANDERSON ROAD, NB = 46.867108 -67.499094
ANDERSON SETTLEMENT, NB = 46.114333 -64.247883
ANDERSONVILLE, NB = 45.423625 -67.251986
ANDREW, AB = 53.879661 -112.335177
ANEROID, SK = 49.716886 -107.296929
ANFIELD, NB = 46.927086 -67.513458
ANGE-GARDIEN, QC = 45.356596 -72.935631
ANGLEMONT, BC = 50.964704 -119.163761
ANGLIERS, QC = 47.549061 -79.237161
ANGLING LAKE, ON = 53.844439 -89.530919
ANGUS, ON = 37.652644 -120.946420
ANGUSVILLE, MB = 50.734879 -101.019901
ANJOU, QC = 45.615958 -73.569351
ANMORE, BC = 49.314625 -122.855669
ANNAHEIM, SK = 52.319380 -104.820702
ANNAN, ON = 44.615120 -80.853429
ANNAPOLIS ROYAL, NS = 44.742226 -65.515822
ANOLA, MB = 49.881166 -96.623332
ANSE-BLEUE, NB = 47.828435 -65.082124
ANTIGONISH, NS = 45.622660 -61.992803
ANTLER, SK = 49.569012 -101.458833
ANTRIM, NS = 44.961176 -63.360079
ANZAC, AB = 56.448899 -111.036765
APOHAQUI, NB = 45.700085 -65.600124
APPIN, ON = 42.796220 -81.650668
APPLE HILL, ON = 38.743211 -120.729994
APSLEY, ON = 44.752801 -78.088090
AQUAFORTE, NL = 47.008560 -52.957904
ARBEAU SETTLEMENT, NB = 46.641596 -65.851000
ARBORFIELD, SK = 53.103928 -103.660880
ARBORG, MB = 50.906104 -97.218171
ARCADIA, NS = 43.824923 -66.072837
ARCHERWILL, SK = 52.440067 -103.861520
ARCOLA, SK = 49.639066 -102.492536
ARCTIC BAY, NU = 73.037575 -85.148031
ARDATH, SK = 51.617360 -107.227564
ARDEN, MB = 50.276092 -99.266954
ARDEN, ON = 38.600807 -121.377034
ARDILL, SK = 49.938840 -105.964435
ARDMORE, AB = 54.331462 -110.480273
ARDOCH, ON = 44.929265 -76.906103
ARDROSSAN, AB = 53.551606 -113.142839
ARELEE, SK = 52.259376 -107.499462
ARGENTA, BC = 50.160737 -116.917903
ARGYLE, MB = 50.182012 -97.456049
ARICHAT, NS = 45.513731 -61.011843
ARISS, ON = 43.575162 -80.364423
ARKELL, ON = 43.532959 -80.173595
ARKONA, ON = 43.075855 -81.834067
ARMAGH, QC = 46.749405 -70.589310
ARMENA, AB = 53.120740 -112.951727
ARMOND, NB = 46.412751 -67.382518
ARMSTRONG STATION, ON = 50.296741 -89.058273
ARMSTRONG, BC = 50.447698 -119.196994
ARNAUD, MB = 49.250278 -97.103889
ARNES, MB = 50.802145 -96.995181
ARNOLDS COVE, NL = 47.757445 -53.988744
ARNPRIOR, ON = 45.434745 -76.351847
ARNSTEIN, ON = 46.306135 -79.428648
ARNTFIELD, QC = 48.197591 -79.255863
AROLAND, ON = 50.233333 -86.983333
AROOSTOOK JUNCTION, NB = 46.800214 -67.698093
AROOSTOOK, NB = 46.801129 -67.724373
ARRAN, SK = 51.884501 -101.718691
ARRAS, BC = 55.754089 -120.524384
ARROW RIVER, MB = 50.144123 -100.894142
ARROWWOOD, AB = 50.738628 -113.150683
ARTHUR, ON = 43.832920 -80.537886
ARTHURETTE, NB = 46.788699 -67.493048
ARUNDEL, QC = 45.965807 -74.617217
ARVA, ON = 43.050367 -81.294773
ARVIAT, NU = 61.107828 -94.062369
ASBESTOS, QC = 45.774103 -71.936720
ASCOT CORNER, QC = 45.449633 -71.766551
ASHBURN, ON = 44.002192 -78.995462
ASHCROFT, BC = 50.725925 -121.280474
ASHERN, MB = 51.180849 -98.350341
ASHLAND, NB = 46.314184 -67.460109
ASHMONT, AB = 54.129050 -111.568986
ASHTON, ON = 33.892735 -117.523671
ASHVILLE, MB = 51.177289 -100.297600
ASKILTON, NS = 45.700000 -61.300000
ASPEN COVE, NL = 49.450000 -54.100000
ASPEN, NS = 45.301536 -62.052560
ASQUITH, SK = 52.134257 -107.228725
ASSINIBOIA, SK = 49.633567 -105.991792
ASTLE, NB = 46.418749 -66.461380
ASTON-JONCTION, QC = 46.165182 -72.234055
ASTORVILLE, ON = 46.184003 -79.277611
ASTRA, ON = 44.126703 -77.580030
ATHABASCA, AB = 54.721409 -113.286182
ATHALMER, BC = 50.517378 -116.036891
ATHELSTAN, QC = 45.035589 -74.175271
ATHENS, ON = 33.920015 -118.281184
ATHOLVILLE, NB = 47.990847 -66.717196
ATIKAMEG, AB = 55.908325 -115.638719
ATIKOKAN, ON = 48.759753 -91.618172
ATLIN, BC = 59.578028 -133.689524
ATMORE, AB = 54.819015 -112.550370
ATTAWAPISKAT, ON = 52.925885 -82.428892
ATWATER, SK = 50.774224 -102.226828
ATWOOD, ON = 33.865595 -117.831264
AUBIGNY, MB = 49.458165 -97.246512
AUBURN, NS = 45.017355 -64.863031
AUBURN, ON = 38.896565 -121.076890
AUBURNDALE, NS = 44.400000 -64.600000
AUCLAIR, QC = 47.733429 -68.649556
AUDET, QC = 45.617207 -70.694398
AULAC, NB = 45.868455 -64.282426
AUMOND, QC = 46.470341 -75.891311
AUPALUK, QC = 59.305740 -69.597489
AURORA, ON = 44.006480 -79.450396
AUSTIN, MB = 49.951529 -98.936927
AUSTIN, QC = 45.184092 -72.280290
AUTHIER, QC = 48.731515 -78.856541
AUTHIER-NORD, QC = 48.837351 -78.859455
AVOLA, BC = 51.785209 -119.323101
AVONDALE, NB = 46.316667 -67.650000
AVONDALE, NL = 47.420842 -53.195266
AVONHURST, SK = 50.630080 -104.131445
AVONLEA, SK = 50.015753 -105.054874
AVONMORE, ON = 45.172130 -74.967192
AVONPORT, NS = 45.098429 -64.253250
AYER'S CLIFF, QC = 45.167873 -72.039167
AYLESBURY, SK = 50.939645 -105.693586
AYLESFORD, NS = 45.028156 -64.836432
AYLMER, ON = 42.772938 -80.982884
AYLSHAM, SK = 53.192402 -103.805685
AYR, ON = 43.285472 -80.450784
AYTON, ON = 44.051739 -80.927281
AZILDA, ON = 46.551674 -81.115029
BACCARO, NS = 43.462230 -65.468463
BACK BAY, NB = 45.056114 -66.869580
BADDECK, NS = 46.099917 -60.754676
BADEN, ON = 37.649656 -122.434139
BADGER, NL = 48.980886 -56.038213
BADGERS QUAY, NL = 49.124141 -53.594171
BADJEROS, ON = 44.257169 -80.281509
BAGOT, MB = 49.968341 -98.628957
BAIE DE BOUCTOUCHE, NB = 46.502184 -64.678091
BAIE DE PETIT-POKEMOUCHE, NB = 47.706865 -64.733750
BAIE VERTE, NB = 46.017171 -64.101369
BAIE VERTE, NL = 49.939265 -56.190729
BAIE-COMEAU, QC = 49.221297 -68.150394
BAIE-D'URFE, QC = 45.416456 -73.916080
BAIE-DES-SABLES, QC = 48.847513 -67.947512
BAIE-DU-FEBVRE, QC = 46.138194 -72.720917
BAIE-JOHAN-BEETZ, QC = 50.338466 -62.745802
BAIE-SAINT-PAUL, QC = 47.442406 -70.504084
BAIE-SAINTE-ANNE, NB = 47.052590 -64.952458
BAIE-SAINTE-CATHERINE, QC = 48.099743 -69.722283
BAIE-TRINITE, QC = 49.419816 -67.304595
BAILIEBORO, ON = 44.131005 -78.359058
BAILLIE, NB = 45.387319 -67.262929
BAINE HARBOUR, NL = 47.359640 -54.893820
BAINS CORNER, NB = 45.333285 -65.642632
BAINSVILLE, ON = 45.183797 -74.415067
BAIRDSVILLE, NB = 46.633333 -67.716667
BAKER BROOK, NB = 47.307943 -68.497005
BAKER LAKE, NU = 64.317604 -96.022001
BAKER SETTLEMENT, NS = 44.398294 -64.682730
BALA, ON = 45.016543 -79.615314
BALCARRES, SK = 50.801713 -103.544829
BALD ROCK, NS = 44.469419 -63.581411
BALDERSON, ON = 44.952169 -76.327659
BALDONNEL, BC = 56.217228 -120.689286
BALDUR, MB = 49.385578 -99.243840
BALDWIN, ON = 34.085287 -117.960898
BALDWINTON, SK = 52.787973 -109.269928
BALFOUR, BC = 49.624750 -116.962879
BALGONIE, SK = 50.492122 -104.268777
BALLA PHILIP, NB = 46.488386 -64.912466
BALLINAFAD, ON = 43.696150 -80.012134
BALLS CREEK, NS = 46.149222 -60.303016
BALMERTOWN, ON = 51.057342 -93.742758
BALMORAL EST, NB = 47.972686 -66.445405
BALMORAL SUD, NB = 47.697835 -66.556688
BALMORAL, MB = 50.256324 -97.321294
BALMORAL, NB = 47.972686 -66.445405
BALTIMORE, NB = 45.883333 -64.816667
BALTIMORE, ON = 44.022558 -78.148501
BALZAC, AB = 51.212985 -114.007862
BAMFIELD, BC = 48.833289 -125.142835
BANCROFT, ON = 45.055857 -77.854881
BANFF, AB = 51.178363 -115.570769
BANGOR, SK = 50.805789 -102.341733
BANKEND, SK = 51.510089 -103.845790
BANNON, NB = 46.370822 -67.464264
BARACHOIS BROOK, NL = 48.450000 -58.433333
BARACHOIS, QC = 48.618278 -64.275145
BARKERVILLE, BC = 53.070351 -121.513766
BARKMERE, QC = 45.999801 -74.582451
BARNABY, NB = 46.828398 -65.520995
BARNESVILLE, NB = 45.442239 -65.731330
BARNETTVILLE, NB = 46.768149 -65.776564
BARNEYS RIVER STATION, NS = 45.600000 -62.266667
BARNWELL, AB = 49.760437 -112.262531
BARONS, AB = 49.997547 -113.081677
BARONY, NB = 45.970404 -67.187308
BARR SETTLEMENT, NS = 45.133333 -63.633333
BARRA GLEN, NS = 45.969017 -60.846116
BARRACHOIS, NS = 46.133333 -60.433333
BARRAUTE, QC = 48.437691 -77.637239
BARRHEAD, AB = 54.123072 -114.401674
BARRIE, ON = 44.389356 -79.690332
BARRIERE, BC = 51.182478 -120.123711
BARRINGTON PASSAGE, NS = 43.527233 -65.609274
BARRINGTON, NS = 43.527233 -65.609274
BARROWS, MB = 52.830720 -101.441445
BARRYS BAY, ON = 45.488207 -77.678805
BARRYVILLE, NB = 47.160179 -65.243820
BARSS CORNER, NS = 44.566343 -64.680945
BARTER SETTLEMENT, NB = 45.205962 -67.337445
BARTHEL, SK = 53.918812 -109.054670
BARTHOLOMEW, NB = 46.706283 -65.903390
BARTIBOG BRIDGE, NB = 47.099153 -65.348093
BARTIBOG, NB = 47.096194 -65.352242
BARTLETTS HARBOUR, NL = 50.950000 -57.000000
BARTLETTS MILLS, NB = 45.205244 -67.126782
BARTON, NS = 44.536754 -65.873867
BARWICK, ON = 48.647714 -93.984843
BAS-CAP-PELE, NB = 46.231321 -64.261452
BAS-CARAQUET, NB = 47.800621 -64.831991
BAS-PAQUETVILLE, NB = 47.669159 -65.103807
BASHAW, AB = 52.579744 -112.974578
BASS RIVER, NB = 46.544164 -65.113506
BASS RIVER, NS = 45.452052 -63.799913
BASSANO, AB = 50.789479 -112.468645
BASSIN, QC = 47.221821 -61.933232
BASSWOOD RIDGE, NB = 45.308105 -67.352516
BATAWA, ON = 44.176016 -77.596994
BATCHAWANA BAY, ON = 46.927958 -84.605911
BATEMAN, SK = 50.007231 -106.744443
BATESTON, NS = 46.002158 -59.900144
BATH, NB = 46.507986 -67.587531
BATH, ON = 44.184048 -76.771219
BATHURST, NB = 47.618351 -65.651336
BATISCAN, QC = 46.501378 -72.264263
BATTERSEA, ON = 44.431771 -76.384083
BATTLEFORD, SK = 52.736268 -108.305243
BAULINE, NL = 47.710172 -52.817925
BAWLF, AB = 52.919099 -112.465769
BAXTERS CORNER, NB = 45.384693 -65.820885
BAY BULLS, NL = 47.318514 -52.815528
BAY CHIMO, NU = 67.700105 -107.928688
BAY DE VERDE, NL = 48.084961 -52.895618
BAY DU VIN, NB = 47.041385 -65.138271
BAY L'ARGENT, NL = 47.582052 -53.279852
BAY ROBERTS, NL = 47.582052 -53.279852
BAY TREE, AB = 55.824816 -119.905160
BAY VIEW, NB = 33.608231 -117.922678
BAYFIELD, NB = 46.137643 -63.816857
BAYFIELD, ON = 43.560907 -81.696008
BAYSIDE, NB = 45.130978 -67.108214
BAYSIDE, NS = 44.533375 -63.800392
BAYSVILLE, ON = 45.148750 -79.116371
BAYSWATER, NB = 45.354569 -66.132227
BAYTONA, NL = 49.351987 -54.765479
BEACHBURG, ON = 45.735725 -76.863109
BEACHSIDE, NL = 49.641108 -55.897151
BEACHVILLE, ON = 43.090642 -80.829374
BEACONIA, MB = 50.445256 -96.556232
BEACONSFIELD, NB = 45.402149 -67.396806
